
Japanese,Hiragana,Burmese,Tags
"燃えるごみ","燃[も]えるごみ","မီးလောင်ကျွမ်းနိုင်သောအမှိုက်","Minna_no_Nihongo_2::Lesson_26"
"置き場","置[お]き場[ば]","ထားတဲ့နေရာ","Minna_no_Nihongo_2::Lesson_26"
"横","横[よこ]","ဘေးမှာ","Minna_no_Nihongo_2::Lesson_26"
"瓶","瓶[びん]","ပုလင်း","Minna_no_Nihongo_2::Lesson_26"
"缶","缶[かん]","ဗူး","Minna_no_Nihongo_2::Lesson_26"
"ガス","ガス","Gas","Minna_no_Nihongo_2::Lesson_26"
"~会社","~会[がい]社[しゃ]","--ကုမ္ပဏီ","Minna_no_Nihongo_2::Lesson_26"
"宇宙","宇[う]宙[ちゅう]","အာကာသ","Minna_no_Nihongo_2::Lesson_26"
"~様","~様[さま]","Mr., Mrs.","Minna_no_Nihongo_2::Lesson_26"
"宇宙船","宇[う]宙[ちゅう]船[せん]","အာကာသယာဉ်","Minna_no_Nihongo_2::Lesson_26"
"怖い","怖[こわ]い","ကြောက်သော","Minna_no_Nihongo_2::Lesson_26"
"宇宙ステーション","宇[う]宙[ちゅう]ステーション","အာကာသဌာန","Minna_no_Nihongo_2::Lesson_26"
"違います","違[ちが]います","မတူသော။ မဟုတ်ဘူး","Minna_no_Nihongo_2::Lesson_26"
"宇宙飛行士","宇[う]宙[ちゅう]飛[ひ]行[こう]士[し]","အာကာသ ယာဉ်မှူး","Minna_no_Nihongo_2::Lesson_26"
"星出彰彦","星[ほし]出[で]彰[あき]彦[ひこ]","Mr. Akihiko Hoshide","Minna_no_Nihongo_2::Lesson_26"
"飼います","飼[か]います","တိရိစ္ဆန်မွေးမြူသည်","Minna_no_Nihongo_2::Lesson_27"
"走ります","走[はし]ります","ပြေးသည်(လမ်းမကို)။","Minna_no_Nihongo_2::Lesson_27"
"見えます","見[み]えます","မြင်သည် (တောင်ကို)","Minna_no_Nihongo_2::Lesson_27"
"聞こえます","聞[き]こえます","ကြားသည် (အသံကို)","Minna_no_Nihongo_2::Lesson_27"
"できます","できます","အသစ်ဖြစ်လာသည်(လမ်း)။","Minna_no_Nihongo_2::Lesson_27"
"開きます","開[ひら]きます","တည်ထောင်သည်။ ဖွင့်သည်။","Minna_no_Nihongo_2::Lesson_27"
"心配","心[しん]配[ぱい]","စိုးရိမ်သော","Minna_no_Nihongo_2::Lesson_27"
"ペット","ペット","အိမ်မွေးတိရိစ္ဆန်","Minna_no_Nihongo_2::Lesson_27"
"鳥","鳥[とり]","ငှက်၊ ကြက်","Minna_no_Nihongo_2::Lesson_27"
"声","声[こえ]","အသံ","Minna_no_Nihongo_2::Lesson_27"
"波","波[なみ]","လှိုင်း","Minna_no_Nihongo_2::Lesson_27"
"花火","花[はな]火[び]","မီးပန်း","Minna_no_Nihongo_2::Lesson_27"
"道具","道[どう]具[ぐ]","ပစ္စည်းကိရိယာ","Minna_no_Nihongo_2::Lesson_27"
"クリーニング","クリーニング","အဝတ်လျှော်ဆိုင်","Minna_no_Nihongo_2::Lesson_27"
"家","家[いえ]","အိမ်","Minna_no_Nihongo_2::Lesson_27"
"マンション","マンション","အဆင့်မြင့်တိုက်ခန်း၊ condominium","Minna_no_Nihongo_2::Lesson_27"
"キッチン","キッチン","မီးဖိုချောင်","Minna_no_Nihongo_2::Lesson_27"
"~教室","~教[きょう]室[しつ]","--စာသင်ခန်း","Minna_no_Nihongo_2::Lesson_27"
"パーティールーム","パーティールーム","ပါတီအခန်း","Minna_no_Nihongo_2::Lesson_27"
"方","方[かた]","ပုဂ္ဂိုလ်","Minna_no_Nihongo_2::Lesson_27"
"~後","~後[ご]","--နောက်","Minna_no_Nihongo_2::Lesson_27"
"~しか","~しか","--တည်း၊ --ဘဲ","Minna_no_Nihongo_2::Lesson_27"
"ほかの","ほかの","အခြားဟာ","Minna_no_Nihongo_2::Lesson_27"
"はっきり","はっきり","သေသေချာချာ","Minna_no_Nihongo_2::Lesson_27"
"家具","家[か]具[ぐ]","အိမ်ထောင်ပရိဘောဂ","Minna_no_Nihongo_2::Lesson_27"
"本棚","本[ほん]棚[だな]","စာအုပ်စင်","Minna_no_Nihongo_2::Lesson_27"
"いつか","いつか","တနေနေတော့","Minna_no_Nihongo_2::Lesson_27"
"建てます","建[た]てます","အဆောက်အဦးဆောက်သည်","Minna_no_Nihongo_2::Lesson_27"
"すばらしい","すばらしい","တော်သော၊လက်ရာပြောင်မြောက်သော","Minna_no_Nihongo_2::Lesson_27"
"子どもたち","子[こ]どもたち","ကလေးများ","Minna_no_Nihongo_2::Lesson_27"
"大好き","大[だい]好[す]き","အလွန်ကြိုက်သော","Minna_no_Nihongo_2::Lesson_27"
"主人公","主[しゅ]人[じん]公[こう]","အဓိကဇာတ်ဆောင်","Minna_no_Nihongo_2::Lesson_27"
"形","形[かたち]","ပုံသဏ္ဍာန်","Minna_no_Nihongo_2::Lesson_27"
"不思議","不[ふ]思[し]議[ぎ]","ထူးဆန်းအံဩသော","Minna_no_Nihongo_2::Lesson_27"
"ポケット","ポケット","အိတ်","Minna_no_Nihongo_2::Lesson_27"
"例えば","例[たと]えば","ဥပမာ","Minna_no_Nihongo_2::Lesson_27"
"付けます","付[つ]けます","တွဲပေးသည်။ ကပ်သည်။","Minna_no_Nihongo_2::Lesson_27"
"自由に","自[じ]由[ゆう]に","လွတ်လပ်စွာ","Minna_no_Nihongo_2::Lesson_27"
"空","空[そら]","ကောင်းကင်","Minna_no_Nihongo_2::Lesson_27"
"飛びます","飛[と]びます","ပျံသည်","Minna_no_Nihongo_2::Lesson_27"
"昔","昔[むかし]","ဟိုးအရင်တုန်းက၊ ရှေးရှေးတုန်းက","Minna_no_Nihongo_2::Lesson_27"
"自分","自[じ]分[ぶん]","ကိုယ်တိုင်","Minna_no_Nihongo_2::Lesson_27"
"将来","将[しょう]来[らい]","အနာဂတ်","Minna_no_Nihongo_2::Lesson_27"
"ドラえもん","ドラえもん","Doraemon ကာတွန်းဇာတ်ကောင်","Minna_no_Nihongo_2::Lesson_27"
"売れます","売[う]れます","ရောင်းကောင်းသည် (ပေါင်မုန့်)","Minna_no_Nihongo_2::Lesson_28"
"踊ります","踊[おど]ります","ကသည်","Minna_no_Nihongo_2::Lesson_28"
"噛みます","噛[か]みます","ကိုက်သည်။ ဝါးသည်","Minna_no_Nihongo_2::Lesson_28"
"選びます","選[えら]びます","ရွေးချယ်သည်","Minna_no_Nihongo_2::Lesson_28"
"通います","通[かよ]います","မှန်မှန်သွားသည် (တက္ကသိုလ်သို့)","Minna_no_Nihongo_2::Lesson_28"
"メモします","メモします","အကြမ်းမှတ်သည်","Minna_no_Nihongo_2::Lesson_28"
"真面目","真[ま]面[じ]目[め]","တည်ကြည်သော။ ရိုးသားဖြောင့်မတ်သော။","Minna_no_Nihongo_2::Lesson_28"
"熱心","熱[ねっ]心[しん]","လေးနက်သော၊ စိတ်အားထက်သန်သော","Minna_no_Nihongo_2::Lesson_28"
"偉い","偉[えら]い","တော်လိုက်တာ။ ကောင်းလိုက်တာ။ ကြိုးစားလိုက်တာ","Minna_no_Nihongo_2::Lesson_28"
"ちょうどいい","ちょうどいい","အနေတော်ဘဲ","Minna_no_Nihongo_2::Lesson_28"
"景色","景[け]色[しき]","ရှူခင်း","Minna_no_Nihongo_2::Lesson_28"
"美容院","美[び]容[よう]院[いん]","အလှပြင်ဆိုင်","Minna_no_Nihongo_2::Lesson_28"
"台所","台[だい]所[どころ]","မီးဖိုခန်း","Minna_no_Nihongo_2::Lesson_28"
"経験","経[けい]験[けん]","အတွေ့အကြုံ","Minna_no_Nihongo_2::Lesson_28"
"力","力[ちから]","အင်အား","Minna_no_Nihongo_2::Lesson_28"
"人気","人[にん]気[き]","လူကြိုက်များသော","Minna_no_Nihongo_2::Lesson_28"
"形","形[かたち]","ပုံသဏ္ဍာန်","Minna_no_Nihongo_2::Lesson_28"
"色","色[いろ]","အရောင်","Minna_no_Nihongo_2::Lesson_28"
"味","味[あじ]","အရသာ","Minna_no_Nihongo_2::Lesson_28"
"ガム","ガム","Chewing gum","Minna_no_Nihongo_2::Lesson_28"
"品物","品[しな]物[もの]","အရာဝတ္ထု၊ ပစ္စည်း။","Minna_no_Nihongo_2::Lesson_28"
"値段","値[ね]段[だん]","ဈေးနှုန်း","Minna_no_Nihongo_2::Lesson_28"
"給料","給[きゅう]料[りょう]","လစာ","Minna_no_Nihongo_2::Lesson_28"
"ボーナス","ボーナス","စုကြေးငွေ၊ bonus","Minna_no_Nihongo_2::Lesson_28"
"ゲーム","ゲーム","ကစားပွဲ","Minna_no_Nihongo_2::Lesson_28"
"番組","番[ばん]組[ぐみ]","TV program","Minna_no_Nihongo_2::Lesson_28"
"ドラマ","ドラマ","ရုပ်ရှင်ဇာတ်လမ်း","Minna_no_Nihongo_2::Lesson_28"
"歌手","歌[か]手[しゅ]","အဆိုတော်","Minna_no_Nihongo_2::Lesson_28"
"小説","小[しょう]説[せつ]","ဝတ္ထု","Minna_no_Nihongo_2::Lesson_28"
"小説家","小[しょう]説[せつ]家[か]","ဝတ္ထုရေးဆရာ","Minna_no_Nihongo_2::Lesson_28"
"~家","~家[か]","--စာရေးဆရာ","Minna_no_Nihongo_2::Lesson_28"
"~機","~機[き]","--စက်","Minna_no_Nihongo_2::Lesson_28"
"息子","息[むす]子[こ]","သား (မိမိ၏သား)","Minna_no_Nihongo_2::Lesson_28"
"息子さん","息[むす]子[こ]さん","သား (သူများ၏သား)","Minna_no_Nihongo_2::Lesson_28"
"娘","娘[むすめ]","သမီး (မိမိ၏သမီး)","Minna_no_Nihongo_2::Lesson_28"
"娘さん","娘[むすめ]さん","သမီး (သူများ၏သမီး)","Minna_no_Nihongo_2::Lesson_28"
"自分","自[じ]分[ぶん]","မိမိ၊ ကိုယ်တိုင်","Minna_no_Nihongo_2::Lesson_28"
"将来","将[しょう]来[らい]","အနာဂတ်","Minna_no_Nihongo_2::Lesson_28"
"しばらく","しばらく","ခဏကြာ","Minna_no_Nihongo_2::Lesson_28"
"たいてい","たいてい","ယေဘုယျအားဖြင့်","Minna_no_Nihongo_2::Lesson_28"
"それに","それに","ဒါ့အပြင်","Minna_no_Nihongo_2::Lesson_28"
"それで","それで","အဲဒါနဲ့ဘဲ","Minna_no_Nihongo_2::Lesson_28"
"ちょっとお願いがあるんですが","ちょっとお願[ねが]いがあるんですが","တောင်းဆိုစရာလေး ရှိပါတယ်","Minna_no_Nihongo_2::Lesson_28"
"実は","実[じつ]は","အမှန်တော့","Minna_no_Nihongo_2::Lesson_28"
"会話","会[かい]話[わ]","စကားပြော","Minna_no_Nihongo_2::Lesson_28"
"うーん","うーん","အင်း။ ကောင်းပါပြီ","Minna_no_Nihongo_2::Lesson_28"
"お知らせ","お知[し]らせ","အသိပေးခြင်း","Minna_no_Nihongo_2::Lesson_28"
"参加します","参[さん]加[か]します","ပါဝင်သည်","Minna_no_Nihongo_2::Lesson_28"
"日にち","日[ひ]にち","ရက်စွဲ","Minna_no_Nihongo_2::Lesson_28"
"土","土[ど]","စနေ","Minna_no_Nihongo_2::Lesson_28"
"体育館","体[たい]育[いく]館[かん]","အားကစားရုံ","Minna_no_Nihongo_2::Lesson_28"
"無料","無[む]料[りょう]","အခမဲ့","Minna_no_Nihongo_2::Lesson_28"
"誘います","誘[さそ]います","ဖိတ်ခေါ်သည်","Minna_no_Nihongo_2::Lesson_28"
"イベント","イベント","အခမ်းအနား","Minna_no_Nihongo_2::Lesson_28"
"開きます","開[あ]きます","ပွင့်သည် (တံခါး)","Minna_no_Nihongo_2::Lesson_29"
"閉まります","閉[し]まります","ပိတ်သည် (တံခါး)","Minna_no_Nihongo_2::Lesson_29"
"付きます","付[つ]きます","ပွင့်သည် (မီး)","Minna_no_Nihongo_2::Lesson_29"
"消えます","消[き]えます","ပိတ်သည် (မီး)","Minna_no_Nihongo_2::Lesson_29"
"壊れます","壊[こわ]れます","ပျက်သည် (ကုလားထိုင်)","Minna_no_Nihongo_2::Lesson_29"
"割れます","割[わ]れます","ကွဲသည် (ဖန်ခွက်)","Minna_no_Nihongo_2::Lesson_29"
"折れます","折[お]れます","ကျိုးသည် (သစ်ပင်)","Minna_no_Nihongo_2::Lesson_29"
"破れます","破[やぶ]れます","စีกသည် (စက္ကူ)","Minna_no_Nihongo_2::Lesson_29"
"汚れます","汚[よご]れます","ပေသည် (အဝတ်)","Minna_no_Nihongo_2::Lesson_29"
"付きます","付[つ]きます","ပါသည် (အိတ်ကပ်)","Minna_no_Nihongo_2::Lesson_29"
"外れます","外[はず]れます","ပြုတ်သည် (ကြယ်သီး)","Minna_no_Nihongo_2::Lesson_29"
"止まります","止[と]まります","ရပ်သည် (ကား)","Minna_no_Nihongo_2::Lesson_29"
"間違えます","間[ま]違[ちが]えます","မှားသည်","Minna_no_Nihongo_2::Lesson_29"
"落とします","落[お]とします","ပြုတ်ကျသည်","Minna_no_Nihongo_2::Lesson_29"
"掛かります","掛[か]かります","ပိတ်သည် (သော့)","Minna_no_Nihongo_2::Lesson_29"
"ふきます","ふきます","ဖုန်သုတ်သည်","Minna_no_Nihongo_2::Lesson_29"
"取り替えます","取[と]り替[か]えます","လဲလှယ်သည်","Minna_no_Nihongo_2::Lesson_29"
"片づけます","片[かた]づけます","သိမ်းဆည်းသည်","Minna_no_Nihongo_2::Lesson_29"
"お皿","お皿[さら]","ပန်းကန်","Minna_no_Nihongo_2::Lesson_29"
"お茶碗","お茶[ちゃ]碗[わん]","ရေနွေးပန်းကန်","Minna_no_Nihongo_2::Lesson_29"
"コップ","コップ","ခွက်","Minna_no_Nihongo_2::Lesson_29"
"ガラス","ガラス","မှန်","Minna_no_Nihongo_2::Lesson_29"
"袋","袋[ふくろ]","အိတ်","Minna_no_Nihongo_2::Lesson_29"
"書類","書[しょ]類[るい]","စာရွက်စာတန်း","Minna_no_Nihongo_2::Lesson_29"
"枝","枝[えだ]","သစ်ပင်၏အကိုင်း","Minna_no_Nihongo_2::Lesson_29"
"駅員","駅[えき]員[いん]","ဘူတာရုံ ဝန်ထမ်း","Minna_no_Nihongo_2::Lesson_29"
"交番","交[こう]番[ばん]","ရဲကင်း","Minna_no_Nihongo_2::Lesson_29"
"スピーチ","スピーチ","မိန်းခွန်းစကား","Minna_no_Nihongo_2::Lesson_29"
"返事","返[へん]事[じ]","အကြောင်းပြန်ခြင်း","Minna_no_Nihongo_2::Lesson_29"
"お先にどうぞ","お先[さき]にどうぞ","အရင်--လုပ်ပါ","Minna_no_Nihongo_2::Lesson_29"
"源氏物語","源[げん]氏[じ]物[もの]語[がたり]","ရှေးဟောင်းရာဇဝင်ပုံပြင်များ","Minna_no_Nihongo_2::Lesson_29"
"今の電車","今[いま]の電[でん]車[しゃ]","အခု ရထား","Minna_no_Nihongo_2::Lesson_29"
"忘れ物","忘[わす]れ物[もの]","မေ့ကျန်ပစ္စည်း","Minna_no_Nihongo_2::Lesson_29"
"このくらい","このくらい","ဒီလောက်","Minna_no_Nihongo_2::Lesson_29"
"~側","~側[がわ]","--ဘက်","Minna_no_Nihongo_2::Lesson_29"
"ポケット","ポケット","အိတ်ကပ်","Minna_no_Nihongo_2::Lesson_29"
"~辺","~辺[へん]","--အနီးအနား","Minna_no_Nihongo_2::Lesson_29"
"覚えていません","覚[おぼ]えていません","မမှတ်မိဘူး","Minna_no_Nihongo_2::Lesson_29"
"網棚","網[あみ]棚[だな]","ပစ္စည်းတင်တဲ့စင်","Minna_no_Nihongo_2::Lesson_29"
"確か","確[たし]か","သေချာတာကတော့","Minna_no_Nihongo_2::Lesson_29"
"ああよかった","ああよかった","တော်သေးတာပေါ့။ ကောင်းလိုက်တာနော်","Minna_no_Nihongo_2::Lesson_29"
"新宿","新[しん]宿[じゅく]","ရှင်းဂျုကုမြို့","Minna_no_Nihongo_2::Lesson_29"
"地震","地[じ]震[しん]","ငလျင်","Minna_no_Nihongo_2::Lesson_29"
"壁","壁[かべ]","နံရံ","Minna_no_Nihongo_2::Lesson_29"
"針","針[はり]","နာရီလက်တံ","Minna_no_Nihongo_2::Lesson_29"
"指します","指[さ]します","ညွန်ပြသည်","Minna_no_Nihongo_2::Lesson_29"
"駅前","駅[えき]前[まえ]","ဘူတာရုံရှေ့","Minna_no_Nihongo_2::Lesson_29"
"倒れます","倒[たお]れます","လဲကျသည်။ လဲလျောင်းသည်","Minna_no_Nihongo_2::Lesson_29"
"西","西[にし]","အနောက်ဘက်","Minna_no_Nihongo_2::Lesson_29"
"~の方","~の方[ほう]","--ဘက်","Minna_no_Nihongo_2::Lesson_29"
"燃えます","燃[も]えます","လောင်ကျွမ်းသည်","Minna_no_Nihongo_2::Lesson_29"
"レポーター","レポーター","အစီရင်ခံသူ၊ တင်ဆက်သူ","Minna_no_Nihongo_2::Lesson_29"
"はります","はります","ကပ်သည်(နံရံတွင် ပိုစတာကိုကပ်သည်)","Minna_no_Nihongo_2::Lesson_30"
"かけます","かけます","ချိတ်သည်(နံရံတွင် ပန်းချီကိုချိတ်သည်)","Minna_no_Nihongo_2::Lesson_30"
"飾ります","飾[かざ]ります","အလှဆင်သည်","Minna_no_Nihongo_2::Lesson_30"
"並べます","並[なら]べます","စီသည်","Minna_no_Nihongo_2::Lesson_30"
"植えます","植[う]えます","စိုက်ပျိုးသည်","Minna_no_Nihongo_2::Lesson_30"
"戻します","戻[もど]します","ပြန်ထားသည်","Minna_no_Nihongo_2::Lesson_30"
"まとめます","まとめます","စုစည်းသည်","Minna_no_Nihongo_2::Lesson_30"
"しまいます","しまいます","သိမ်းဆည်းသည်","Minna_no_Nihongo_2::Lesson_30"
"決めます","決[き]めます","ဆုံးဖြတ်သည်","Minna_no_Nihongo_2::Lesson_30"
"予習します","予[よ]習[しゅう]します","ကြိုတင်လေ့ကျင့်သည်","Minna_no_Nihongo_2::Lesson_30"
"復習します","復[ふく]習[しゅう]します","ပြန်လှန်လေ့ကျင့်သည်","Minna_no_Nihongo_2::Lesson_30"
"そのままにします","そのままにします","အဲဒီအတိုင်းလုပ်မယ်","Minna_no_Nihongo_2::Lesson_30"
"授業","授[じゅ]業[ぎょう]","Lesson, class","Minna_no_Nihongo_2::Lesson_30"
"講義","講[こう]義[ぎ]","Lecture","Minna_no_Nihongo_2::Lesson_30"
"ミーティング","ミーティング","အစည်းအဝေး","Minna_no_Nihongo_2::Lesson_30"
"予定","予[よ]定[てい]","အစီအစဉ်","Minna_no_Nihongo_2::Lesson_30"
"お知らせ","お知[し]らせ","အကြောင်းကြားခြင်း။","Minna_no_Nihongo_2::Lesson_30"
"ガイドブック","ガイドブック","ကြော်ငြာ၊ လမ်းညွန်စာအုပ်","Minna_no_Nihongo_2::Lesson_30"
"カレンダー","カレンダー","ပြက္ခဒိန်","Minna_no_Nihongo_2::Lesson_30"
"ポスター","ポスター","ပိုစတာ","Minna_no_Nihongo_2::Lesson_30"
"予定表","予[よ]定[てい]表[ひょう]","အချိန်ဇယား/ schedule","Minna_no_Nihongo_2::Lesson_30"
"ごみ箱","ごみ箱[ばこ]","အမှိုက်ပုံး","Minna_no_Nihongo_2::Lesson_30"
"人形","人[にん]形[ぎょう]","အရုပ်","Minna_no_Nihongo_2::Lesson_30"
"花瓶","花[か]瓶[びん]","ပန်းအိုး","Minna_no_Nihongo_2::Lesson_30"
"鏡","鏡[かがみ]","မှန်","Minna_no_Nihongo_2::Lesson_30"
"引き出し","引[ひ]き出[だ]し","အံဆွဲ","Minna_no_Nihongo_2::Lesson_30"
"玄関","玄[げん]関[かん]","မျက်နှာစာဝင်ပေါက်။ တံခါးမကြီး","Minna_no_Nihongo_2::Lesson_30"
"廊下","廊[ろう]下[か]","လျှောက်လမ်း။ ကော်ရစ်ဒါ","Minna_no_Nihongo_2::Lesson_30"
"壁","壁[かべ]","နံရံ","Minna_no_Nihongo_2::Lesson_30"
"池","池[いけ]","ရေအိုင်။ ရေကန်","Minna_no_Nihongo_2::Lesson_30"
"もとの所","もとの所[ところ]","အရင်နေရာ","Minna_no_Nihongo_2::Lesson_30"
"周り","周[まわ]り","အနီးအနား","Minna_no_Nihongo_2::Lesson_30"
"真ん中","真[ま]ん中[なか]","အလယ်","Minna_no_Nihongo_2::Lesson_30"
"隅","隅[すみ]","ဘေးစွန်း။ ထောင့်စွန်း","Minna_no_Nihongo_2::Lesson_30"
"まだ","まだ","မ--သေးဘူး/ --နေတုန်းဘဲ","Minna_no_Nihongo_2::Lesson_30"
"リュック","リュック","ကျောပိုးအိတ်","Minna_no_Nihongo_2::Lesson_30"
"非常袋","非[ひ]常[じょう]袋[ぶくろ]","အရေးပေါ်ချိန်တွင်သုံးသောအိတ်","Minna_no_Nihongo_2::Lesson_30"
"非常時","非[ひ]常[じょう]時[じ]","အရေးပေါ်အချိန်","Minna_no_Nihongo_2::Lesson_30"
"生活します","生[せい]活[かつ]します","နေထိုင်သည်","Minna_no_Nihongo_2::Lesson_30"
"懐中電灯","懐[かい]中[ちゅう]電[でん]灯[とう]","ဓာတ်မီး","Minna_no_Nihongo_2::Lesson_30"
"~とか、〜とか","~とか、〜とか","--တို့၊ --တို့","Minna_no_Nihongo_2::Lesson_30"
"丸い","丸[まる]い","လုံးဝိုင်းသော","Minna_no_Nihongo_2::Lesson_30"
"ある~","ある~","တစ်ခု--","Minna_no_Nihongo_2::Lesson_30"
"夢を見ます","夢[ゆめ]を見[み]ます","အိမ်မက်မက်သည်","Minna_no_Nihongo_2::Lesson_30"
"うれしい","うれしい","ဝမ်းသာသည်","Minna_no_Nihongo_2::Lesson_30"
"嫌","嫌[いや]","မကြိုက်သော၊ မနှစ်မြို့သော","Minna_no_Nihongo_2::Lesson_30"
"すると","すると","လုပ်ရင်၊ ပြီးနောက်","Minna_no_Nihongo_2::Lesson_30"
"目が覚めます","目[め]が覚[さ]めます","မျက်လုံးပွင့်လာသည်။ နိုးသည်","Minna_no_Nihongo_2::Lesson_30"
"続けます","続[つづ]けます","ဆက်လက်လုပ်ဆောင်သည်","Minna_no_Nihongo_2::Lesson_31"
"見つけます","見[み]つけます","တွေ့ သည်","Minna_no_Nihongo_2::Lesson_31"
"取ります","取[と]ります","ယူသည် (အားလပ်ရက်)","Minna_no_Nihongo_2::Lesson_31"
"受けます","受[う]けます","ဖြေသည် (စာမေးပွဲ)","Minna_no_Nihongo_2::Lesson_31"
"申し込みます","申[もう]し込[こ]みます","လျှောက်လွှာတင်သည်","Minna_no_Nihongo_2::Lesson_31"
"休憩します","休[きゅう]憩[けい]します","အနားယူသည်","Minna_no_Nihongo_2::Lesson_31"
"連休","連[れん]休[きゅう]","ပိတ်ရက်ရှည်","Minna_no_Nihongo_2::Lesson_31"
"作文","作[さく]文[ぶん]","စာစီစာကုံး","Minna_no_Nihongo_2::Lesson_31"
"発表","発[はっ]表[ぴょう]","ကြော်ငြာခြင်း၊ ရှင်းလင်းတင်ပြခြင်း၊ ပြပွဲ","Minna_no_Nihongo_2::Lesson_31"
"展覧会","展[てん]覧[らん]会[かい]","ပြပွဲ","Minna_no_Nihongo_2::Lesson_31"
"結婚式","結[けっ]婚[こん]式[しき]","မင်္ဂလာဆောင်အခမ်းအနား","Minna_no_Nihongo_2::Lesson_31"
"お葬式","お葬[そう]式[しき]","အသုဘအခမ်းအနား","Minna_no_Nihongo_2::Lesson_31"
"式","式[しき]","--အခမ်းအနား","Minna_no_Nihongo_2::Lesson_31"
"本社","本[ほん]社[しゃ]","ရုံးချုပ်","Minna_no_Nihongo_2::Lesson_31"
"支店","支[し]店[てん]","ရုံးခွဲ","Minna_no_Nihongo_2::Lesson_31"
"教会","教[きょう]会[かい]","ခရစ်ယာန် ဘုရားကျောင်း","Minna_no_Nihongo_2::Lesson_31"
"大学院","大[だい]学[がく]院[いん]","မာစတာတန်း၊ ဘွဲ့လွန်တန်း","Minna_no_Nihongo_2::Lesson_31"
"動物園","動[どう]物[ぶつ]園[えん]","တိရိစ္ဆန်ရုံ","Minna_no_Nihongo_2::Lesson_31"
"温泉","温[おん]泉[せん]","ရေပူစမ်း","Minna_no_Nihongo_2::Lesson_31"
"帰り","帰[かえ]り","အပြန်","Minna_no_Nihongo_2::Lesson_31"
"お子さん","お子[こ]さん","ကလေး (တပါးသူ၏)","Minna_no_Nihongo_2::Lesson_31"
